switch.nezu_adb_192_168_1_37_5555_nezu_limpiar_cache | NEZU ADB 192.168.1.37:5555 NEZU Limpiar caché
switch.nezu_adb_192_168_1_37_5555_nezu_notificaciones | NEZU ADB 192.168.1.37:5555 NEZU Notificaciones
switch.nezu_adb_192_168_1_37_5555_nezu_bloquear | NEZU ADB 192.168.1.37:5555 NEZU Bloquear
switch.nezu_adb_192_168_1_37_5555_nezu_silencio | NEZU ADB 192.168.1.37:5555 NEZU Silencio
switch.nezu_adb_192_168_1_37_5555_nezu_apagar | NEZU ADB 192.168.1.37:5555 NEZU Apagar
switch.nezu_adb_192_168_1_37_5555_nezu_reiniciar | NEZU ADB 192.168.1.37:5555 NEZU Reiniciar
switch.nezu_adb_192_168_1_37_5555_nezu_captura | NEZU ADB 192.168.1.37:5555 NEZU Captura
switch.nezu_adb_192_168_1_37_5555_nezu_ajustes | NEZU ADB 192.168.1.37:5555 NEZU Ajustes
switch.nezu_adb_192_168_1_37_5555_nezu_desbloquear | NEZU ADB 192.168.1.37:5555 NEZU Desbloquear
switch.nezu_adb_192_168_1_37_5555_nezu_bajar_volumen | NEZU ADB 192.168.1.37:5555 NEZU Bajar volumen
switch.nezu_adb_192_168_1_37_5555_nezu_subir_volumen | NEZU ADB 192.168.1.37:5555 NEZU Subir volumen
switch.sonoff_1000f28266 | Gata
switch.sonoff_100177eb58_1 | Channel1
switch.sonoff_100177eb58_2 | Desayunador blanca 
switch.sonoff_100177eb58_3 | Desayunador cálida 
switch.sonoff_100177eb58_4 | Mesón 
switch.sonoff_1001578895_1 | Dicroicos 
switch.sonoff_1001578895_2 | Central 
switch.sonoff_1000f2f31f | Cocina
switch.sonoff_10010fe8d5_1 | Central 
switch.sonoff_10010fe8d5_2 | Secundaria
switch.sonoff_10010fe8d5_3 | Jardín 
sensor.pantalla_oficina_device | Pantalla Oficina device
sensor.pantalla_oficina_alarms | Pantalla Oficina alarms
sensor.pantalla_oficina_timers | Pantalla Oficina timers
sensor.taller_speaker_device | Taller speaker device
